id,pop,lat,lon,Microchip,Weight,Sex,AgeClass,concentration,PlateID,Row,Column,order_dart,id_b
E34,U_SNOW_10,-36.480859,148.774219,0007A08ACC,1.45,M,A,8.28,1,B,5,20,U_SNOW_10_5
E42,U_SNOW_2,-36.443192,148.636579,0007A3A76B,0.47,M,J,2.72,1,B,6,21,U_SNOW_2_1
E50,U_SNOW_6,-36.446267,148.661103,0007A2ED6A,1.33,M,A,13.48,1,B,7,22,U_SNOW_6_2
E58,U_SNOW_10,-36.480859,148.774219,0007A3558D,1.76,M,A,4.46,1,B,8,23,U_SNOW_10_6
E66,U_THRED_2,-36.467726,148.373502,00079F76A9,0.4,F,J,7.96,1,B,9,24,U_THRED_2_1
E3,R_B_ECUM_1,-36.164286,148.622989,792300,0.87,F,A,2.84,1,C,1,25,R_B_ECUM_1_3
E75,U_THRED_7,-36.369731,148.589586,0007A35C50,0.66,M,J,5,1,C,10,26,U_THRED_7_1
E83,U_SNOW_11,-36.501988,148.831949,0007A32A1C,1.03,F,A,11.4,1,C,11,27,U_SNOW_11_3
E91,U_THRED_1,-36.497628,148.316844,00079F52FC,1.5,M,A,2.64,1,C,12,28,U_THRED_1_1
E11,R_B_ECUM_6,-36.253799,148.620099,0007923D9C,0.84,F,A,3.68,1,C,2,29,R_B_ECUM_6_1
E19,R_B_ECUM_4,-36.183226,148.634856,0007923C91,1.3,M,A,73.3,1,C,3,30,R_B_ECUM_4_1
E27,U_SNOW_4,-36.447367,148.648261,0007A35CF8,0.8,F,A,3.06,1,C,4,31,U_SNOW_4_2
E35,U_THRED_3,-36.44681,148.424506,0007A3C80E,1.33,M,A,5.74,1,C,5,32,U_THRED_3_2
E43,U_SNOW_2,-36.443192,148.636579,0007A3A0E2,0.81,F,A,9.12,1,C,6,33,U_SNOW_2_2
E51,U_SNOW_6,-36.446267,148.661103,0007A06159,0.89,F,A,6.7,1,C,7,34,U_SNOW_6_3
E59,U_SNOW_10,-36.480859,148.774219,0007A2E562,0.48,F,J,9.58,1,C,8,35,U_SNOW_10_7
E67,U_SNOW_7,-36.452387,148.677242,00079F6477,1.47,M,A,4.56,1,C,9,36,U_SNOW_7_1
E4,R_B_ECUM_3,-36.181475,148.633916,0007923C8B,0.83,F,A,3.16,1,D,1,37,R_B_ECUM_3_2
E76,U_THRED_7,-36.369731,148.589586,0007A311C2,0.95,F,A,4.6,1,D,10,38,U_THRED_7_2
E84,U_SNOW_11,-36.501988,148.831949,0007A01477,1.53,M,A,11.44,1,D,11,39,U_SNOW_11_4
E92,U_THRED_1,-36.497628,148.316844,0007A327CE,0.91,M,A,6.88,1,D,12,40,U_THRED_1_2
E12,R_B_ECUM_6,-36.253799,148.620099,0007923C2E,0.82,F,A,4.68,1,D,2,41,R_B_ECUM_6_2
E20,R_B_ECUM_4,-36.183226,148.634856,0007923BC1,1.25,M,SA,44,1,D,3,42,R_B_ECUM_4_2
E28,R_B_ECUM_2,-36.180689,148.634867,0007A3719D,0.75,F,J,14.86,1,D,4,43,R_B_ECUM_2_2
E36,U_SNOW_3,-36.447412,148.643942,0007A34EC7,0.45,F,J,32,1,D,5,44,U_SNOW_3_1
E44,U_SNOW_2,-36.443192,148.636579,0007A33253,0.46,F,J,9.84,1,D,6,45,U_SNOW_2_3
E52,U_SNOW_5,-36.446414,148.652903,0007A384D4,0.72,F,A,3.76,1,D,7,46,U_SNOW_5_1
E60,U_THRED_3,-36.44681,148.424506,0007A3A30E,0.5,F,J,8.4,1,D,8,47,U_THRED_3_3
E68,R_A_ECUM_1,-35.887646,148.51589,0007A37532,0.93,F,A,7.92,1,D,9,48,R_A_ECUM_1_1
E5,R_B_ECUM_3,-36.181475,148.633916,0007923D59,1.58,M,A,2.18,1,E,1,49,R_B_ECUM_3_3
E77,U_THRED_6,-36.376912,148.583204,0007A36429,0.44,F,J,7.4,1,E,10,50,U_THRED_6_1
E85,U_SNOW_9,-36.46894,148.722478,0007A0657C,1.67,M,A,10.98,1,E,11,51,U_SNOW_9_2
E93,U_SNOW_1,-36.439499,148.63292,0007A33C8B,0.64,M,SA,6.52,1,E,12,52,U_SNOW_1_2
E13,U_SNOW_8,-36.467166,148.693223,0007923CEE,1.11,M,A,2.88,1,E,2,53,U_SNOW_8_1
E21,U_SNOW_4,-36.447367,148.648261,00079F6130,0.78,F,A,4.14,1,E,3,54,U_SNOW_4_3
E29,R_B_ECUM_2,-36.180689,148.634867,00079F61D1,0.91,F,A,3.78,1,E,4,55,R_B_ECUM_2_3
E37,U_SNOW_3,-36.447412,148.643942,00079FE350,1.29,M,A,15,1,E,5,56,U_SNOW_3_2
E45,U_SNOW_2,-36.443192,148.636579,00079FD596,1.42,M,A,2.46,1,E,6,57,U_SNOW_2_4
E53,U_SNOW_4,-36.447367,148.648261,0007A3A5BB,0.89,F,A,9.16,1,E,7,58,U_SNOW_4_4
E61,U_THRED_3,-36.44681,148.424506,00079FA01E,0.9,M,A,11.06,1,E,8,59,U_THRED_3_4
E69,R_A_ECUM_1,-35.887646,148.51589,0007A367A6,0.56,F,J,12.9,1,E,9,60,R_A_ECUM_1_2
E6,R_B_ECUM_2,-36.180689,148.634867,0007923E2A,1.48,M,A,2.7,1,F,1,61,R_B_ECUM_2_4
E78,U_THRED_6,-36.376912,148.583204,0007A37A46,0.76,M,J,6.36,1,F,10,62,U_THRED_6_2
E86,U_SNOW_9,-36.46894,148.722478,00079F5EBB,0.72,F,A,3.06,1,F,11,63,U_SNOW_9_3
E94,U_SNOW_10,-36.480859,148.774219,00079FE436,,M,A,2.18,1,F,12,64,U_SNOW_10_8
E14,U_SNOW_8,-36.467166,148.693223,0007923BE8,1.53,M,A,4.2,1,F,2,65,U_SNOW_8_2
E22,U_SNOW_4,-36.447367,148.648261,0007A359E8,0.78,F,A,4.86,1,F,3,66,U_SNOW_4_5
E30,U_THRED_5,-36.410407,148.495869,0007A32250,1.2,M,A,2.9,1,F,4,67,U_THRED_5_1
E38,U_SNOW_3,-36.447412,148.643942,0007A4996B,1.52,M,A,2.2,1,F,5,68,U_SNOW_3_3
E46,U_SNOW_2,-36.443192,148.636579,0007A00559,,F,A,2.12,1,F,6,69,U_SNOW_2_5
E54,U_SNOW_4,-36.447367,148.648261,0007A3A8D8,1.48,M,A,2.46,1,F,7,70,U_SNOW_4_6
E62,U_THRED_3,-36.44681,148.424506,00079FCCA9,1.6,M,A,8.48,1,F,8,71,U_THRED_3_5
E70,R_A_ECUM_1,-35.887646,148.51589,0007A2FB3D,1.36,M,A,4.26,1,F,9,72,R_A_ECUM_1_3
E7,R_B_ECUM_3,-36.181475,148.633916,0007923D3A,1.56,M,A,2.16,1,G,1,73,R_B_ECUM_3_4
E79,U_SNOW_11,-36.501988,148.831949,00079F7D6B,,M,A,12.3,1,G,10,74,U_SNOW_11_5
E87,U_SNOW_9,-36.46894,148.722478,0007A32147,0.81,F,A,4.1,1,G,11,75,U_SNOW_9_4
E15,U_THRED_3,-36.44681,148.424506,0007A08265,0.61,F,A,3.42,1,G,2,76,U_THRED_3_6
E23,U_SNOW_10,-36.480859,148.774219,0007923DFC,0.86,F,A,35,1,G,3,77,U_SNOW_10_9
E31,U_THRED_5,-36.410407,148.495869,0007A3D096,0.91,F,A,2.66,1,G,4,78,U_THRED_5_2
E39,U_SNOW_3,-36.447412,148.643942,00079FD272,0.93,F,A,6.42,1,G,5,79,U_SNOW_3_4
E47,U_SNOW_5,-36.446414,148.652903,0007A32C76,0.85,F,A,2.1,1,G,6,80,U_SNOW_5_2
E55,U_THRED_5,-36.410407,148.495869,0007A383FE,0.63,F,A,2.24,1,G,7,81,U_THRED_5_3
E63,R_B_ECUM_2,-36.180689,148.634867,0007A2F5CA,0.78,F,A,8.74,1,G,8,82,R_B_ECUM_2_5
E71,U_SNOW_10,-36.480859,148.774219,00079FCA26,1.59,M,A,5.74,1,G,9,83,U_SNOW_10_10
E8,R_B_ECUM_3,-36.181475,148.633916,0007923CFC,0.77,F,A,2.46,1,H,1,84,R_B_ECUM_3_5
E80,U_SNOW_11,-36.501988,148.831949,0007A08876,1.23,M,A,9.68,1,H,10,85,U_SNOW_11_6
E88,U_SNOW_9,-36.46894,148.722478,0007A01993,,M,A,6.42,1,H,11,86,U_SNOW_9_5
E16,U_THRED_3,-36.44681,148.424506,0007A02356,1.1,M,A,4.92,1,H,2,87,U_THRED_3_7
E24,U_SNOW_10,-36.480859,148.774219,0007A33399,0.85,F,A,12.1,1,H,3,88,U_SNOW_10_11
E32,U_SNOW_10,-36.480859,148.774219,00079F7056,0.88,F,A,69.1,1,H,4,89,U_SNOW_10_12
E40,U_SNOW_1,-36.439499,148.63292,0007A382C1,1.21,M,A,4.06,1,H,5,90,U_SNOW_1_3
E48,U_SNOW_6,-36.446267,148.661103,0007A3FE5A,0.89,F,A,12.08,1,H,6,91,U_SNOW_6_4
E56,U_THRED_5,-36.410407,148.495869,00079FD8A0,0.92,F,A,5.38,1,H,7,92,U_THRED_5_4
E64,R_B_ECUM_3,-36.181475,148.633916,0007A3B518,0.74,F,J,10.4,1,H,8,93,R_B_ECUM_3_6
E72,U_SNOW_10,-36.480859,148.774219,00079F66A2,0.96,F,A,3.72,1,H,9,94,U_SNOW_10_13
E95,U_SNOW_11,-36.501988,148.831949,0007A34090,0.7,F,A,4.3,2,A,1,95,U_SNOW_11_7
T27,U_TENT_14,-28.989203,151.701152,7923E5F,0.91,F,A,2.78,2,A,10,96,U_TENT_14_1
T35,U_TENT_12,-29.027057,151.724683,7923C07,1.62,M,A,2.94,2,A,11,97,U_TENT_12_1
V1,R_A_MITTA_2,-36.908784,147.622772,0007A3F273,,F,J,3.2,2,A,12,98,R_A_MITTA_2_1
SDS4,R_B_SEV_2,-29.296528,151.144227,7923C2A,1.24,F,A,4.8,2,A,2,99,R_B_SEV_2_1
SDS12,R_B_SEV_8,-29.179456,151.111784,7923C9C,1.68,M,A,29.2,2,A,3,100,R_B_SEV_8_1
SUS20,R_A_SEV_5,-29.474119,151.485041,7923DB3,1.34,F,A,5.4,2,A,4,101,R_A_SEV_5_1
SUS28,R_A_SEV_2,-29.506811,151.589001,7922DE0,1.23,F,A,3.06,2,A,5,102,R_A_SEV_2_1
SUS36,R_A_SEV_7,-29.456671,151.464321,7923CCA,1.28,F,A,5.56,2,A,6,103,R_A_SEV_7_1
T3,U_TENT_3,-29.011746,151.86722,7923CCD,0.9,M,J,6.56,2,A,7,104,U_TENT_3_1
T11,U_TENT_8,-29.035987,151.759721,7922BB4,0.82,F,J,9.66,2,A,8,105,U_TENT_8_1
T19,U_TENT_5,-29.022531,151.86925,7923DB6,1.79,M,A,3.24,2,A,9,106,U_TENT_5_1
E96,U_SNOW_11,-36.501988,148.831949,00079F8AC2,1.1,M,SA,13.2,2,B,1,107,U_SNOW_11_8
